ICAO;DIAMES;MES_LOCAL;HORA_LOCAL;TOTALES
LEMD_DCL;1;7;0:00;90
LEMD_DCL;1;7;1:00;90
LEMD_DCL;1;7;2:00;90
LEMD_DCL;1;7;3:00;90
LEMD_DCL;1;7;4:00;90
LEMD_DCL;1;7;5:00;90
LEMD_DCL;1;7;6:00;90
LEMD_DCL;1;7;7:00;60
LEMD_DCL;1;7;8:00;90
LEMD_DCL;1;7;9:00;90
LEMD_DCL;1;7;10:00;90
LEMD_DCL;1;7;11:00;90
LEMD_DCL;1;7;12:00;90
LEMD_DCL;1;7;13:00;60
LEMD_DCL;1;7;14:00;90
LEMD_DCL;1;7;15:00;90
LEMD_DCL;1;7;16:00;90
LEMD_DCL;1;7;17:00;50
LEMD_DCL;1;7;18:00;90
LEMD_DCL;1;7;19:00;90
LEMD_DCL;1;7;20:00;40
LEMD_DCL;1;7;21:00;90
LEMD_DCL;1;7;22:00;90
LEMD_DCL;1;7;23:00;90
LEMD_DCL;2;7;0:00;20
LEMD_DCL;2;7;1:00;2
LEMD_DCL;2;7;2:00;2
LEMD_DCL;2;7;3:00;2
LEMD_DCL;2;7;4:00;6
LEMD_DCL;2;7;5:00;10
LEMD_DCL;2;7;6:00;42
LEMD_DCL;2;7;7:00;57
LEMD_DCL;2;7;8:00;60
LEMD_DCL;2;7;9:00;64
LEMD_DCL;2;7;10:00;80
LEMD_DCL;2;7;11:00;64
LEMD_DCL;2;7;12:00;65
LEMD_DCL;2;7;13:00;61
LEMD_DCL;2;7;14:00;82
LEMD_DCL;2;7;15:00;91
LEMD_DCL;2;7;16:00;77
LEMD_DCL;2;7;17:00;43
LEMD_DCL;2;7;18:00;48
LEMD_DCL;2;7;19:00;56
LEMD_DCL;2;7;20:00;53
LEMD_DCL;2;7;21:00;55
LEMD_DCL;2;7;22:00;48
LEMD_DCL;2;7;23:00;44
LEMD_DCL;3;7;0:00;20
LEMD_DCL;3;7;1:00;2
LEMD_DCL;3;7;2:00;2
LEMD_DCL;3;7;3:00;2
LEMD_DCL;3;7;4:00;6
LEMD_DCL;3;7;5:00;10
LEMD_DCL;3;7;6:00;42
LEMD_DCL;3;7;7:00;57
LEMD_DCL;3;7;8:00;60
LEMD_DCL;3;7;9:00;64
LEMD_DCL;3;7;10:00;80
LEMD_DCL;3;7;11:00;64
LEMD_DCL;3;7;12:00;65
LEMD_DCL;3;7;13:00;61
LEMD_DCL;3;7;14:00;82
LEMD_DCL;3;7;15:00;91
LEMD_DCL;3;7;16:00;77
LEMD_DCL;3;7;17:00;43
LEMD_DCL;3;7;18:00;48
LEMD_DCL;3;7;19:00;56
LEMD_DCL;3;7;20:00;53
LEMD_DCL;3;7;21:00;55
LEMD_DCL;3;7;22:00;48
LEMD_DCL;3;7;23:00;44
